year,mileage,tax,mpg,engineSize,price
2014,43000,20,58.9,1.0,6495
2019,3498,145,50.4,2.0,26698
2017,13095,125,53.3,1.0,10298
2016,23858,30,55.4,1.0,9798
2016,23589,20,67.3,2.0,14998
2014,33353,0,65.7,1.0,6998
2019,2369,150,49.6,1.0,18498
2014,29951,0,65.7,1.0,7498
2017,24024,150,45.6,1.5,15998
2017,20102,20,60.1,1.0,9995
2018,9712,145,58.9,1.0,14998
2019,11680,145,58.9,1.0,13798
2015,17151,145,47.1,1.4,7498
2018,15644,145,54.3,1.0,14500
2018,4311,145,54.3,1.0,15300
2017,26719,145,74.3,1.5,12400
2018,30335,145,65.7,1.0,12377
2016,15636,125,54.3,1.2,9500
2015,31563,125,54.3,1.2,7400
2016,4520,125,54.3,1.2,9300
2017,6073,145,57.7,1.2,7950
2019,6768,145,58.9,1.0,15950
2019,7416,145,34.5,2.3,25250
2017,33699,150,64.2,1.1,7990
2015,4627,125,54.3,1.2,7495
2018,28240,150,65.7,1.0,9599
2019,9597,150,58.9,1.0,12995
2019,7404,150,45.6,1.5,17690
2019,6613,150,47.9,1.2,10250
2017,14522,145,64.2,1.1,9800
2017,10468,145,57.7,1.2,8100
2018,13802,145,58.9,1.0,11300
2018,16316,145,54.3,2.0,19000
2017,35448,150,60.1,2.0,13998
2017,7721,0,65.7,1.0,11998
2015,33515,30,61.4,1.5,7998
2017,20758,0,74.3,1.5,11998
2018,9889,145,54.3,1.0,13700
2019,10265,145,54.3,1.5,16450
2015,14631,30,54.3,1.2,7995
2017,13056,125,58.9,2.0,11450
2017,25133,145,47.9,1.6,11450
2018,2684,145,41.5,2.0,16950
2017,6046,0,78.5,1.5,11950
2018,11591,145,60.1,1.0,14250
2016,13865,30,57.7,1.2,7250
2018,14830,145,64.2,1.1,10050
2018,10920,145,57.7,1.2,9000
2018,14346,145,62.8,1.0,12400
2018,10357,145,65.7,1.0,11200
2020,52,145,60.1,1.0,21000
2018,23860,145,64.2,1.1,9741
2019,13743,150,51.4,1.0,17498
2015,37962,150,53.3,2.0,9998
2017,5715,125,51.4,1.0,12698
2017,11599,145,52.3,1.0,9998
2017,22814,145,54.3,2.0,15998
2017,41460,30,55.4,1.0,10298
2018,30898,150,51.4,1.0,11980
2017,24505,145,64.2,1.5,9698
2013,71825,0,65.7,1.0,4998
2018,21173,150,58.9,1.5,15998
2015,19502,30,57.7,1.2,4698
2015,39405,0,65.7,1.0,6998
2017,10044,150,67.3,2.0,17298
2017,14032,150,74.3,1.5,11998
2018,13058,145,54.3,1.5,17498
2018,18678,145,74.3,1.5,16998
2017,20893,235,38.2,1.5,13995
2018,21643,145,47.9,1.0,11995
2019,2350,145,54.3,1.5,15995
2017,30803,20,68.9,1.5,9290
2017,37187,145,54.3,2.0,13990
2019,9282,145,51.4,2.0,25990
2013,33428,30,54.3,1.2,6290
2019,8028,145,55.4,1.0,15490
2017,15650,145,55.4,1.0,10690
2016,55102,165,44.8,1.5,8498
2017,22213,0,74.3,1.5,11498
2018,15798,150,65.7,1.0,11998
2017,14212,145,60.1,1.0,10598
2017,27412,150,74.3,1.5,10998
2015,2263,0,65.7,1.0,7498
2014,69211,150,53.3,2.0,7998
2017,16121,150,74.3,1.5,11998
2017,15619,145,74.3,1.5,12698
2017,28534,0,74.3,1.5,9998
2015,41527,160,44.8,1.5,7998
2017,29720,30,57.7,1.0,9598
2018,6194,145,57.7,1.0,14598
2015,30324,235,43.5,2.2,15998
2016,4027,30,64.2,1.5,9998
2018,21284,145,74.3,1.5,16998
2018,22338,145,54.3,1.0,14498
2016,24123,20,67.3,2.0,13798
2015,37376,125,54.3,1.2,6998
2017,9587,150,60.1,2.0,14998
2017,5012,150,65.7,1.0,9998
2017,20554,0,74.3,1.5,12498
2017,12912,150,46.3,1.5,13298
2016,30654,0,65.7,1.0,7998
2017,42692,125,52.3,1.0,9998
2017,36501,30,64.2,1.5,8998
2016,22147,0,78.5,1.5,9998
2016,14345,0,65.7,1.0,10998
2017,17442,30,64.2,1.5,12298
2014,59701,145,53.3,2.0,9298
2013,33850,30,54.3,1.2,5798
2018,14272,145,65.7,1.0,10498
2016,22016,125,54.3,1.2,7998
2019,14348,145,56.5,1.0,12498
2019,9557,145,60.1,1.0,16498
2018,18847,145,88.3,1.5,10798
2019,13778,150,58.9,1.0,11298
2018,9782,145,55.4,1.0,11698
2018,18192,145,65.7,1.0,10298
2018,19725,145,67.3,2.0,18998
2017,9038,0,74.3,1.5,11998
2017,19096,145,65.7,1.0,9998
2017,17292,145,54.3,1.2,8498
2018,30127,145,54.3,1.0,12998
2018,14519,145,64.2,1.1,9998
2017,33005,145,53.3,1.0,9698
2016,25356,20,64.2,1.5,10498
2016,29531,125,54.3,1.2,7998
2016,34716,125,54.3,1.2,6998
2017,7373,150,54.3,2.0,17698
2016,35367,125,54.3,1.2,7298
2016,38313,20,60.1,1.0,8498
2014,52544,20,67.3,1.6,7298
2019,17998,150,60.1,1.0,16798
2019,12391,145,58.9,1.0,13598
2018,7063,150,31.0,1.5,15998
2017,14420,30,58.9,1.5,10830
2014,54096,30,57.7,1.2,4290
2015,30947,0,65.7,1.0,7790
2017,30993,145,47.9,1.6,11490
2016,13954,30,57.7,1.2,6340
2016,24939,30,61.4,1.5,11298
2018,10306,145,58.9,1.0,14998
2018,7097,145,64.2,2.0,16298
2017,32451,145,54.3,2.0,17298
2019,11614,145,60.1,1.0,15798
2019,12926,145,60.1,1.0,16998
2017,28500,150,47.9,1.6,11495
2015,48523,150,54.3,2.0,11698
2018,12726,145,51.4,1.5,13498
2018,6963,145,43.5,1.2,9998
2019,3541,145,74.3,1.5,23695
2019,9987,145,74.3,1.5,20498
2019,13998,145,60.1,1.0,16998
2019,16997,145,58.9,1.0,11198
2018,36244,145,54.3,1.0,11998
2017,12628,30,64.2,1.5,12698
2017,25279,0,74.3,1.5,12998
2019,5029,150,48.7,1.1,11798
2019,6505,150,48.7,1.0,13798
2018,2150,145,54.3,1.0,14660
2015,70672,0,74.3,1.5,7050
2016,43924,20,60.1,1.0,8370
2015,26437,20,62.8,1.0,8990
2013,66175,0,85.6,1.6,4990
2019,10102,145,58.9,1.0,12998
2019,21277,145,60.1,1.0,16998
2019,12142,145,48.7,1.0,17298
2018,33237,145,60.1,1.0,10495
2018,16787,145,56.5,1.0,11250
2017,16173,145,65.7,1.0,8550
2017,40198,145,64.2,1.5,15086
2014,76314,30,61.4,1.5,6420
2016,23149,20,62.8,1.0,9699
2019,2803,145,58.9,1.0,13200
2018,7994,145,55.4,1.0,10500
2017,6931,0,57.7,1.0,10998
2017,20442,150,64.2,1.5,14298
2015,51916,0,78.5,1.5,9998
2017,12920,0,65.7,1.0,9698
2016,14342,0,65.7,1.0,8998
2014,22384,0,65.7,1.0,7698
2016,29106,30,64.2,1.5,12990
2017,23653,0,65.7,1.0,9770
2016,30150,0,74.3,1.5,9280
2014,48254,235,39.2,2.0,12046
2018,19460,145,67.3,2.0,18991
2019,11559,145,37.7,2.0,19991
2014,17200,30,54.3,1.2,7491
2017,13998,145,65.7,1.0,9849
2016,59193,30,65.7,2.0,10799
2016,9027,20,60.1,1.0,10699
2015,16427,0,65.7,1.0,7499
2013,70048,0,65.7,1.0,5698
2017,21420,125,53.3,1.0,10298
2018,18840,145,65.7,1.0,10298
2017,46011,0,74.3,1.5,9998
2017,38199,145,67.3,2.0,15798
2019,13024,145,58.9,1.0,13998
2018,21602,145,64.2,1.5,15498
2016,23151,145,54.3,2.0,16498
2019,12368,145,74.3,1.5,16498
2014,20325,30,54.3,1.2,6998
2016,12118,125,54.3,1.2,8998
2017,14087,200,41.5,2.0,18698
2019,13194,145,54.3,1.0,13998
2017,27025,145,65.7,1.0,9698
2018,37813,145,60.1,2.0,14390
2017,20747,150,56.5,2.0,17799
2015,49000,0,65.7,1.0,6999
2017,33929,145,64.2,1.5,9380
2019,12700,145,65.7,1.0,11999
2017,31350,145,74.3,1.5,10500
2018,37484,145,54.3,2.0,15270
2017,11560,145,65.7,1.0,8617
2016,24300,145,47.9,1.6,11499
2017,30069,150,64.2,1.5,10478
2017,18209,145,56.6,1.5,14998
2017,34371,0,74.3,1.5,9698
2019,12245,145,51.4,1.0,16498
2019,11256,145,51.4,1.0,16598
2018,3059,145,60.1,1.0,15498
2017,30987,20,60.1,1.0,9298
2018,17662,150,60.1,2.0,17498
2017,29068,150,67.3,2.0,16998
2017,35121,145,54.3,2.0,16298
2017,13613,125,53.3,1.0,10498
2016,8346,125,54.3,1.2,8980
2015,63000,145,54.3,2.0,12150
2016,33698,145,52.3,2.0,13200
2019,11507,145,60.1,1.0,15900
2019,8011,145,38.2,2.0,17860
2017,11600,150,51.4,1.5,12980
2015,49853,0,88.3,1.5,6810
2014,31423,30,57.7,1.2,4490
2017,36789,0,74.3,1.5,10050
2015,40310,205,41.5,2.0,12500
2018,4957,145,31.0,1.5,20850
2018,10439,145,39.2,2.0,20700
2017,19386,125,51.4,1.0,11500
2018,36859,145,38.2,1.5,19380
2018,18911,145,39.2,2.0,19980
2014,35000,30,57.7,1.2,5480
2017,27700,150,61.4,1.0,9980
2015,26000,30,54.3,1.2,5980
2016,56000,0,74.3,1.5,8980
2019,9600,150,35.3,1.5,18300
2017,35601,145,52.3,2.0,18990
2017,12620,0,65.7,1.0,9490
2019,2851,145,43.5,1.2,10990
2018,30922,145,65.7,1.0,10490
2014,22500,145,53.3,2.0,10500
2015,34921,0,57.7,1.0,9000
2016,22440,125,54.3,1.2,7250
2017,13174,150,47.9,1.6,12495
2020,1005,145,51.4,1.0,18290
2020,1250,145,50.4,1.0,23155
2019,3309,145,74.3,1.5,19725
2016,31842,160,44.1,1.6,8430
2016,36563,20,60.1,1.0,10170
2019,6375,145,32.5,2.0,24995
2019,5341,145,32.5,2.0,24995
2018,16000,145,41.5,2.0,19690
2016,22000,145,47.9,1.6,11750
2014,53301,30,62.8,1.6,7471
2013,73411,20,67.3,1.6,5971
2017,11212,145,54.3,1.2,9471
2017,23000,0,65.7,1.0,9690
2017,34261,145,78.5,1.5,7710
2016,47832,0,74.3,1.5,8667
2017,41482,0,74.3,1.5,9000
2018,31107,145,54.3,1.0,11991
2015,33958,165,42.8,1.6,7495
2014,44523,0,76.4,1.5,5995
2018,7423,150,57.7,1.0,13990
2018,7162,150,60.1,1.0,12670
2013,27732,0,76.4,1.5,6890
2019,2000,145,58.9,1.0,19490
2019,6901,145,37.7,2.0,21390
2014,28371,0,65.7,1.0,8280
2016,20362,0,65.7,1.0,7990
2018,3669,145,47.9,1.2,8890
2018,4536,145,47.9,1.2,8989
2019,2112,145,58.9,1.0,15495
2015,33000,20,67.3,2.0,12940
2019,4577,145,54.3,2.0,28450
2019,3377,145,37.2,2.0,22980
2019,9963,145,38.7,2.0,22620
2019,5099,145,38.7,2.0,23190
2019,4507,145,38.7,2.0,23880
2019,12500,145,55.4,2.0,23780
2016,50211,0,88.3,1.5,7220
2015,50000,165,47.9,2.0,10191
2017,8801,125,53.3,1.0,10491
2016,11871,0,74.4,1.5,8650
2019,5689,145,50.4,1.5,19298
2017,20366,30,54.3,1.0,10607
2018,33937,145,62.8,1.0,13091
2014,48462,30,61.4,1.5,6990
2016,15146,30,58.9,1.5,10495
2018,19065,145,74.3,1.5,13180
2013,15974,0,65.7,1.0,6800
2016,15414,30,64.2,1.5,10277
2015,23117,205,41.5,2.0,13338
2017,14509,145,60.1,1.0,12890
2013,47969,30,54.3,1.2,4780
2017,11909,145,41.5,2.0,19320
2014,24916,30,54.3,1.2,6590
2017,18500,145,54.3,2.0,19990
2017,20245,30,64.2,1.5,12240
2018,9000,145,67.3,2.0,17060
2015,35226,30,64.2,2.0,10547
2015,44000,145,47.9,1.6,9578
2015,32309,0,65.7,1.0,8082
2017,22522,20,60.1,1.0,11731
2015,46032,125,60.1,2.0,10441
2018,3939,150,57.7,1.0,15250
2015,28861,30,54.3,1.2,6999
2017,37652,125,60.1,2.0,13480
2017,52053,20,68.9,1.5,7950
2019,7030,145,74.3,1.5,22998
2018,20369,145,65.7,1.0,9298
2017,9463,145,41.5,2.0,17298
2019,11651,150,60.1,1.0,16998
2017,18593,30,55.4,1.0,12298
2013,48438,30,54.3,1.2,6100
2016,49132,0,74.4,1.5,7197
2017,47018,145,51.4,1.0,10490
2014,50039,30,56.5,1.0,7470
2018,5987,150,58.9,1.0,12698
2017,16549,150,74.3,1.5,12498
2017,13167,30,55.4,1.0,10798
2013,58804,20,67.3,1.6,5840
2017,40792,0,57.7,1.0,9420
2018,19862,145,60.1,1.0,10870
2018,13579,150,64.2,1.1,8791
2014,45497,200,47.9,2.0,10699
2017,33315,30,57.7,1.2,6699
2017,40375,150,68.9,1.5,10298
2017,40512,150,52.3,2.0,18498
2019,5015,150,62.8,2.0,18798
2018,11552,150,55.4,1.1,10298
2015,34701,125,54.3,1.2,6298
2017,27485,150,60.1,1.0,9798
2017,16400,165,45.6,1.5,13298
2018,10826,150,51.4,1.0,13998
2016,30086,0,74.3,1.5,10250
2017,27800,145,60.1,1.0,11750
2019,10671,145,31.0,1.5,21000
2015,40253,20,60.1,1.0,8000
2018,9999,145,57.7,1.0,13500
2017,8543,145,64.2,1.5,16000
2014,57016,0,65.7,1.0,6650
2016,13036,200,41.5,2.0,15500
2017,8589,145,57.7,1.0,12000
2017,14372,145,53.3,1.0,11750
2016,15411,0,57.7,1.0,11498
2017,36658,150,64.2,1.5,11498
2017,26035,150,52.3,2.0,19298
2019,5492,150,48.7,1.1,11498
2019,4551,145,64.2,2.0,19498
2016,9578,30,57.7,1.2,7698
2014,35725,30,54.3,1.2,6698
2017,18563,150,60.1,1.0,10298
2015,53593,0,78.5,1.5,7410
2016,40200,125,52.3,1.0,10000
2017,40454,145,67.3,2.0,15877
2018,18039,145,65.7,1.0,11000
2018,18703,145,48.7,1.2,8471
2017,18850,145,65.7,1.0,9312
2017,17226,145,65.7,1.0,9500
2016,29680,145,54.3,2.0,15000
2019,3745,145,60.1,1.0,17000
2016,24348,0,74.4,1.5,8498
2017,22997,145,55.4,1.0,11698
2018,19364,145,47.9,2.0,25498
2016,24745,0,78.5,1.5,10298
2019,23521,145,60.1,1.0,17998
2019,14074,145,61.4,1.5,17498
2019,8147,145,60.1,1.0,14998
2015,37623,145,54.3,2.0,14498
2016,77495,125,56.5,2.0,13998
2016,25465,125,54.3,1.2,7899
2017,50940,0,74.3,1.5,11000
2015,63259,20,61.4,1.0,6999
2014,15800,150,47.1,1.4,7500
2017,14796,145,57.7,1.2,7999
2017,19300,125,54.3,1.2,8999
2017,21631,150,60.1,1.0,10950
2016,19255,0,78.5,1.5,10500
2018,12604,145,55.4,1.0,14750
2017,16756,125,54.3,1.2,8000
2017,11717,145,41.5,2.0,19000
2014,40621,165,42.8,1.6,6750
2017,27000,150,74.3,1.5,11500
2017,52333,165,44.8,1.5,8799
2014,58769,0,65.7,1.0,5995
2017,22867,150,57.7,1.2,7500
2017,47311,0,74.3,1.5,9999
2014,42102,0,65.7,1.0,8222
2013,31910,20,70.6,1.6,6899
2017,16735,150,60.1,2.0,16688
2014,47911,20,67.3,1.6,8000
2017,15060,150,57.7,1.2,7495
2017,28828,145,65.7,1.0,9823
2014,58317,200,47.9,2.0,9877
2017,49904,145,74.3,1.5,10000
2017,30605,0,74.3,1.5,9998
2019,1137,145,47.9,1.5,18875
2019,5770,145,64.2,2.0,18000
2018,16672,145,64.2,1.5,17550
2018,12983,145,58.9,1.0,13766
2018,16364,145,65.7,1.0,10642
2018,13811,145,65.7,1.0,10463
2019,10,145,37.2,2.0,34000
2014,42342,145,53.3,2.0,9356
2016,10637,145,52.3,2.0,22000
2018,32709,145,65.7,1.0,10000
2016,22380,20,64.2,1.5,10450
2013,28154,160,44.1,1.6,6900
2016,58644,30,61.4,2.0,13240
2018,29730,145,58.9,1.0,13195
2015,11015,125,54.3,1.2,7700
2017,22772,0,65.7,1.0,9600
2015,30981,145,52.3,2.0,14460
2020,293,145,54.3,1.5,16975
2018,36928,150,62.8,1.0,11699
2016,14944,20,60.1,1.0,9399
2016,36145,125,56.6,1.5,13250
2017,18982,150,65.7,1.0,10980
2017,36987,145,54.3,1.2,7999
2015,47360,160,44.1,1.6,7250
2017,45345,145,65.7,1.0,8500
2014,40412,30,56.5,1.0,7250
2017,29533,20,62.8,1.0,10500
2016,13036,200,41.5,2.0,15500
2017,12790,145,62.8,1.0,10998
2016,19504,20,62.8,1.0,9998
2018,9343,145,47.9,2.0,22998
2015,46306,20,61.4,1.0,7690
2017,18487,145,65.7,1.0,10990
2015,48547,0,74.3,1.5,8490
2017,21047,145,65.7,1.0,9990
2018,14752,145,65.7,1.0,13990
2017,22364,145,57.7,1.2,7495
2018,38151,145,65.7,1.0,8930
2018,15341,145,65.7,1.0,11491
2015,30544,30,55.4,1.0,6777
2018,37880,145,60.1,1.0,14591
2016,27977,0,74.3,1.5,9999
2017,22612,150,65.7,1.0,10999
2013,56497,30,54.3,1.2,5000
2016,28896,150,52.3,2.0,14133
2017,35731,150,62.8,1.0,9417
2018,15535,145,80.7,1.5,14581
2016,47219,20,67.3,2.0,9840
2015,30098,125,43.5,2.0,14620
2016,42792,20,70.6,2.0,10141
2017,16814,145,64.2,1.5,16190
2016,38914,0,65.7,1.0,7760
2019,7512,145,55.4,1.0,16280
2018,35211,145,74.3,1.5,12600
2014,57483,20,67.3,1.6,6991
2014,21020,30,54.3,1.2,6991
2013,80146,20,67.3,1.6,5397
2017,31065,145,54.3,2.0,15999
2014,29893,0,65.7,1.0,8999
2017,36139,145,64.2,2.0,12490
2017,27776,145,64.2,2.0,12599
2017,32140,145,64.2,2.0,12480
2016,50784,0,65.7,1.0,8230
2015,64734,0,74.3,1.5,8250
2017,25490,145,67.3,2.0,11990
2014,32318,160,44.1,1.6,7200
2016,60668,0,78.5,1.5,9850
2014,45201,30,57.7,1.2,4290
2017,13369,125,54.3,1.2,8000
2015,40521,125,56.5,2.0,9797
2014,29431,20,68.9,1.5,6890
2017,22709,145,44.8,1.5,8890
2013,36270,125,60.1,1.6,7690
2017,13128,145,54.3,2.0,18497
2017,65040,30,62.8,2.0,12890
2016,29573,20,68.9,2.0,11591
2017,12000,150,53.3,1.0,9990
2016,53500,0,74.3,1.5,8990
2016,39275,0,74.3,1.5,9463
2016,56892,125,56.6,1.5,10873
2017,33627,30,64.2,1.5,10987
2017,23745,30,57.7,1.2,6968
2015,8700,125,54.3,1.2,7995
2017,22653,145,57.7,1.2,6995
2013,36700,0,65.7,1.0,7495
2017,12850,145,65.7,1.0,8999
2018,24046,145,65.7,1.0,8997
2018,21666,145,56.5,1.0,11250
2018,31306,145,56.5,1.0,10770
2017,39876,0,65.7,1.0,7890
2016,10864,125,54.3,1.2,8950
2017,25887,0,74.3,1.5,9500
2017,17981,20,67.3,2.0,15187
2017,29193,125,54.3,1.2,8450
2014,47000,0,65.7,1.0,6700
2016,15440,20,67.3,2.0,15200
2016,15641,145,54.3,2.0,15512
2017,13402,125,58.9,2.0,15822
2018,39478,145,56.5,1.0,10360
2015,24421,160,43.5,1.5,14950
2018,7709,145,54.3,1.0,14750
2017,13196,0,65.7,1.0,8500
2018,12279,145,51.4,1.0,12090
2015,19913,0,65.7,1.0,7250
2018,13807,145,58.9,1.0,14480
2016,18560,0,74.3,1.5,10660
2014,30124,165,50.4,2.0,9500
2017,28840,20,60.1,1.0,11000
2015,35938,20,61.4,1.0,8682
2017,5696,145,65.7,1.0,14932
2014,38547,145,53.3,2.0,10582
2017,24421,145,67.3,2.0,15612
2017,15834,145,41.5,2.0,17252
2015,45588,20,60.1,1.0,9362
2018,20877,145,62.8,2.0,17122
2016,12240,145,47.9,1.6,12852
2015,27372,0,65.7,1.0,7900
2019,3333,150,80.7,1.5,15950
2018,29440,150,74.3,1.5,12590
2018,9812,145,61.4,1.0,13220
2018,12689,150,65.7,1.0,10180
2017,39592,150,65.7,1.0,7990
2019,5473,150,60.1,1.0,16090
2019,8150,145,60.1,1.0,15410
2013,71250,20,67.3,1.6,6500
2016,15542,125,54.3,1.2,8500
2019,9790,145,50.4,1.0,16350
2013,42045,30,54.3,1.2,5898
2017,3266,145,64.2,1.1,9499
2016,22268,0,78.5,1.5,10260
2014,56557,20,67.3,1.6,6590
2017,15311,145,74.3,1.5,12360
2017,53033,145,54.3,2.0,12750
2018,16830,145,56.5,1.0,11000
2018,22140,145,56.5,1.0,11000
2015,46628,20,67.3,2.0,12638
2014,59003,20,67.3,1.6,5290
2013,34521,150,47.9,1.6,6790
2017,14344,145,62.8,1.0,10410
2016,13820,200,41.5,2.0,14950
2019,5000,145,58.9,1.5,15450
2018,18301,145,48.7,2.0,19790
2016,28740,0,74.3,1.5,9495
2013,40289,30,57.7,1.2,4995
2016,28474,125,53.3,1.0,8995
2017,21554,20,61.4,1.0,10990
2018,14384,145,41.5,2.0,17891
2019,5922,145,74.3,1.5,16970
2019,3075,145,58.9,1.0,16780
2017,33391,145,54.3,2.0,16820
2017,14698,0,65.7,1.0,10850
2019,4720,145,60.1,1.0,16590
2017,12397,145,54.3,1.2,8930
2018,18332,145,64.2,1.1,9420
2017,37374,145,47.9,1.6,7110
2017,50380,145,65.7,1.0,6900
2014,34300,0,76.4,1.5,7491
2015,45003,125,56.5,2.0,14450
2015,69043,0,65.7,1.0,5980
2014,28000,0,65.7,1.0,7360
2017,29375,150,57.7,1.2,6790
2017,12253,150,64.2,1.1,8240
2016,24903,125,51.4,1.5,11330
2016,40065,0,88.3,1.5,7160
2020,2459,150,50.4,1.0,20990
2017,15032,0,65.7,1.0,9270
2017,14821,30,64.2,1.5,9320
2019,7269,145,60.1,1.0,14730
2019,2679,145,60.1,1.0,17520
2015,77251,125,60.1,2.0,9540
2013,49649,30,54.3,1.2,5850
2013,53080,30,56.5,1.0,5991
2017,20839,145,54.3,2.0,16720
2013,75526,125,57.7,2.0,5491
2019,2359,145,48.7,1.1,13140
2019,2931,145,60.1,1.0,17350
2015,78329,30,61.4,1.6,6140
2017,29692,145,62.8,1.0,9160
2017,9717,145,41.5,2.0,16370
2019,6050,145,51.4,1.0,20391
2017,12675,145,41.5,2.0,17547
2018,15502,145,65.7,1.0,10750
2016,22607,145,54.3,2.0,15220
2013,76151,0,65.7,1.0,5130
2019,5211,145,48.7,1.1,13140
2019,12500,145,74.3,1.5,16600
2019,5744,145,48.7,1.1,12990
2016,16671,0,78.5,1.5,9295
2019,2480,145,60.1,1.0,19090
2019,5011,145,48.7,1.1,13140
2017,12555,145,57.7,1.2,6930
2019,9803,145,60.1,1.0,15780
2019,11867,145,60.1,1.0,14890
2019,10855,145,74.3,1.5,18600
2019,8387,145,80.7,1.5,15660
2019,16778,145,74.3,1.5,15530
2018,12803,145,48.7,1.0,12980
2014,46012,30,55.4,1.0,5995
2014,12251,30,54.3,1.2,6295
2018,13144,145,58.9,1.0,13600
2017,31956,0,65.7,1.0,8250
2016,20841,200,41.5,2.0,16810
2019,14184,145,45.6,1.5,18000
2018,30098,145,80.7,1.5,13300
2018,20186,145,56.5,1.0,11250
2017,26993,145,54.3,2.0,16430
2014,64834,0,65.7,1.0,5860
2017,7394,30,57.7,1.2,6990
2018,11534,145,57.7,1.2,7300
2018,32715,145,57.7,1.2,6870
2018,13192,145,54.3,1.2,7950
2020,1352,145,41.5,1.0,17481
2017,30045,0,65.7,1.0,9420
2017,24986,125,54.3,1.2,7260
2018,27506,145,64.2,1.5,16311
2018,12502,145,74.3,1.5,13698
2018,20932,145,74.3,1.5,11998
2017,13170,125,60.1,2.0,16698
2017,74351,20,68.9,2.0,9498
2017,18129,125,60.1,2.0,14498
2017,38719,125,60.1,2.0,14798
2018,12053,145,60.1,1.0,14490
2017,9019,145,54.3,2.0,16990
2016,53005,125,54.3,1.2,6298
2016,30000,125,61.4,1.5,13995
2018,10261,145,54.3,1.5,16700
2017,12548,145,61.4,1.0,12250
2017,8764,30,64.2,1.5,12850
2017,6985,235,38.2,1.5,18350
2017,18127,145,57.7,1.2,8250
2016,22740,0,65.7,1.0,9000
2017,29926,145,65.7,1.0,9450
2018,10681,145,57.7,1.2,8550
2018,15707,145,57.7,1.2,8650
2019,8237,145,58.9,1.0,11170
2015,5839,145,54.3,2.0,14750
2015,41385,125,54.3,1.2,6995
2013,97364,200,47.9,2.0,8995
2016,24828,20,62.8,1.0,8899
2015,55422,125,53.3,1.0,7430
2017,16702,145,57.7,1.2,6650
2013,61747,20,58.9,1.0,5750
2016,18541,125,56.5,2.0,15995
2013,37557,30,56.5,1.0,6995
2015,18209,0,65.7,1.0,7995
2017,6815,145,57.7,1.2,7995
2013,14602,30,54.3,1.2,6890
2017,19189,125,54.3,1.2,7690
2017,22997,145,51.4,1.5,13000
2013,17508,30,54.3,1.2,7400
2018,17708,145,74.3,1.5,14120
2017,7987,145,65.7,1.0,10187
2017,44148,0,74.3,1.5,9000
2017,34912,125,60.1,2.0,15045
2017,26275,145,41.5,2.0,13750
2018,15084,145,57.7,1.2,7600
2017,10299,145,64.2,1.1,8180
2019,6744,145,60.1,1.0,17190
2019,3200,145,58.9,1.0,16770
2015,52900,125,60.1,2.0,9000
2017,29533,20,62.8,1.0,10500
2014,40793,0,65.7,1.0,6999
2017,36987,145,54.3,1.2,7999
2014,57016,0,65.7,1.0,6650
2016,24806,0,65.7,1.0,9000
2015,40253,20,60.1,1.0,8000
2018,10111,145,57.7,1.0,13500
2017,8543,145,64.2,1.5,16000
2016,13036,200,41.5,2.0,16250
2017,8589,145,57.7,1.0,12000
2017,14372,145,53.3,1.0,11750
2018,8500,145,37.2,1.5,17365
2018,17522,145,58.9,1.0,12465
2017,16000,150,61.4,1.0,10465
2018,13905,145,57.7,1.0,13298
2017,9281,125,54.3,1.2,8998
2019,9791,145,48.7,1.0,15200
2019,1616,145,38.2,2.0,19700
2017,24008,145,54.3,2.0,16350
2018,26995,145,64.2,1.1,10300
2016,16242,235,38.2,1.5,15000
2017,25878,0,57.7,1.0,12000
2018,23079,145,65.7,1.0,10900
2019,22,145,65.7,2.0,19800
2018,5044,145,58.9,2.0,14000
2019,2871,145,48.7,1.1,13130
2019,4835,145,60.1,1.0,17520
2019,151,145,60.1,1.0,17520
2018,27331,145,64.2,1.5,16137
2015,37110,125,54.3,1.2,6840
2019,2053,145,60.1,1.0,16750
2014,39222,145,53.3,2.0,10191
2018,17152,145,31.0,1.5,20491
2017,10367,20,68.9,1.5,10691
2017,6490,160,44.1,1.6,10490
2018,14278,145,65.7,1.0,10291
2018,9610,145,65.7,1.0,12191
2018,4870,145,54.3,1.2,8500
2019,4987,145,60.1,1.0,17290
2016,26008,20,67.3,2.0,13480
2017,19123,145,44.8,1.5,8891
2017,15823,145,57.7,1.2,7190
2018,12456,145,47.9,1.2,8391
2017,31087,125,53.3,1.0,9600
2018,32340,145,74.3,1.5,12190
2018,24174,145,74.3,1.5,11991
2018,17123,145,54.3,1.0,12991
2017,3807,145,54.3,1.2,9530
2015,30373,160,44.8,1.5,7590
2018,7860,145,57.7,1.2,7991
2018,12349,145,65.7,1.0,10191
2019,4195,145,54.3,1.5,18280
2014,40155,20,60.1,1.0,6991
2019,6484,145,60.1,1.0,13830
2019,151,145,60.1,1.0,17520
2014,48460,20,58.9,1.0,6991
2018,19800,145,41.5,2.0,16460
2017,5380,145,57.7,1.2,7440
2017,11841,145,48.7,2.0,18991
2018,6397,145,56.5,1.0,12491
2013,28411,0,76.4,1.5,6520
2018,18256,145,61.4,1.0,11341
2016,14994,0,65.7,1.0,7800
2019,12942,145,74.3,1.5,16770
2016,23919,30,64.2,1.5,8680
2020,403,150,60.1,1.0,19995
2017,21689,145,61.4,2.0,12491
2015,20927,0,65.7,1.0,8291
2018,20595,145,74.3,1.5,11991
2014,68343,20,67.3,1.6,5700
2016,30155,0,65.7,1.0,8291
